BJD RV eRV FWHM BIS Sind eSind Halpha eHalpha
2458489.776693 10876.27 0.51 8721.33 -0.0355 0.148588 8.7e-05 0.190401 3e-05
2458493.648582 10871.02 0.23 8725.73 -0.0348 0.158893 2.4e-05 0.190453 1.2e-05
2458493.650535 10872 0.22 8724.74 -0.0354 0.159001 2.2e-05 0.190359 1.1e-05
2458493.652492 10871.46 0.22 8726.6 -0.0355 0.158997 2.3e-05 0.190671 1.1e-05
2458493.654368 10871.27 0.22 8726.21 -0.0361 0.158964 2.3e-05 0.190627 1.1e-05
2458493.656362 10871.68 0.23 8725 -0.0368 0.158511 2.5e-05 0.190294 1.2e-05
2458493.658271 10871.11 0.26 8723.92 -0.0357 0.157849 2.9e-05 0.190433 1.3e-05
2458512.58724 10849.34 0.36 8723.25 -0.0531 0.153262 5.3e-05 0.19027 2e-05
2458512.589153 10851.32 0.38 8727.26 -0.057 0.152471 5.8e-05 0.190176 2.1e-05
2458512.591067 10849.7 0.38 8726.22 -0.0508 0.152238 5.8e-05 0.189814 2.1e-05
2458512.593033 10850.48 0.35 8719.52 -0.0543 0.154497 5.2e-05 0.189976 1.9e-05
2458512.59502 10849.54 0.35 8721.74 -0.0516 0.153184 5.2e-05 0.190667 1.9e-05
2458512.596954 10850.4 0.36 8723.03 -0.0513 0.152537 5.4e-05 0.190635 2e-05
2458532.632324 10824.84 0.27 8724.28 -0.0505 0.155629 3.5e-05 0.190195 1.4e-05
2458532.634431 10828.29 0.28 8727.54 -0.0508 0.15544 3.6e-05 0.19011 1.5e-05
2458532.636445 10824.93 0.27 8725.12 -0.0519 0.155968 3.3e-05 0.190212 1.4e-05
2458532.638473 10826.39 0.26 8726.28 -0.0503 0.155913 3.3e-05 0.190329 1.4e-05
2458532.640517 10824.77 0.28 8725.28 -0.0501 0.156266 3.5e-05 0.189907 1.4e-05
2458532.642566 10826.39 0.28 8725.67 -0.0519 0.156001 3.6e-05 0.190104 1.4e-05
2458533.545167 10827.45 0.27 8725.2 -0.0521 0.155407 3.4e-05 0.190274 1.4e-05
2458533.547193 10825.56 0.27 8727.75 -0.0508 0.155895 3.4e-05 0.190627 1.4e-05
2458533.549307 10826.78 0.27 8725.55 -0.0507 0.155997 3.4e-05 0.190123 1.4e-05
2458533.551414 10825.94 0.3 8725.83 -0.0507 0.154857 4.1e-05 0.189938 1.6e-05
2458533.553505 10828.11 0.29 8727.62 -0.0507 0.155035 3.9e-05 0.190156 1.5e-05
2458533.555526 10825.37 0.28 8725.33 -0.0503 0.156078 3.5e-05 0.190096 1.4e-05
2458533.599947 10825.26 0.31 8722.66 -0.0498 0.154645 4.3e-05 0.189963 1.7e-05
2458533.601973 10826.92 0.32 8726.08 -0.0512 0.154015 4.4e-05 0.189647 1.7e-05
2458533.604057 10824.6 0.31 8725.86 -0.0525 0.154509 4.1e-05 0.190206 1.6e-05
2458533.606092 10825.89 0.29 8727.39 -0.0522 0.155328 3.7e-05 0.190265 1.5e-05
2458533.608102 10825.12 0.29 8726.33 -0.0529 0.155083 3.9e-05 0.189889 1.6e-05
2458533.610172 10825.44 0.29 8727.34 -0.0509 0.154913 3.7e-05 0.189469 1.5e-05
2458536.519125 10824.29 0.24 8725.7 -0.0508 0.157789 2.7e-05 0.189946 1.2e-05
2458536.521077 10823.94 0.23 8725.05 -0.0501 0.157777 2.5e-05 0.189907 1.1e-05
2458536.52298 10825.07 0.23 8724.16 -0.0503 0.158217 2.4e-05 0.190213 1.1e-05
2458536.524962 10823.53 0.23 8725.56 -0.0492 0.157922 2.4e-05 0.190405 1.1e-05
2458536.526907 10826.27 0.24 8725.27 -0.051 0.157143 2.7e-05 0.190113 1.2e-05
2458536.52885 10822.5 0.25 8725.79 -0.0516 0.157301 2.9e-05 0.18993 1.3e-05
2458536.595111 10823.82 0.21 8725.97 -0.0523 0.158467 2.1e-05 0.190357 1e-05
2458536.597025 10823.15 0.22 8726.41 -0.0519 0.158099 2.2e-05 0.190646 1.1e-05
2458536.59894 10824.73 0.21 8724.09 -0.0508 0.158087 2.2e-05 0.190225 1e-05
2458536.600915 10824.44 0.2 8726.37 -0.0515 0.158478 2e-05 0.190853 1e-05
2458536.602863 10822.29 0.21 8726.07 -0.0511 0.158794 2e-05 0.190427 1e-05
2458536.604778 10825.63 0.2 8725.71 -0.0524 0.1589 1.9e-05 0.19058 1e-05
2458538.608846 10822.13 0.85 8722.98 -0.0501 0.135984 0.000186 0.190083 5.1e-05
2458538.610831 10822.28 0.49 8727.31 -0.0509 0.1501 8.8e-05 0.190113 2.8e-05
2458538.612797 10820.72 0.49 8720.95 -0.0514 0.14948 8.7e-05 0.189813 2.8e-05
2458538.614742 10821.31 0.44 8721.9 -0.0508 0.151742 7.4e-05 0.190429 2.5e-05
2458538.616659 10820.58 0.39 8726.66 -0.0506 0.151666 6.2e-05 0.19008 2.2e-05
2458538.618575 10821.95 0.4 8725.1 -0.05 0.151661 6.6e-05 0.190055 2.2e-05
2458539.55071 10822.73 0.28 8726.93 -0.0522 0.155401 3.6e-05 0.191336 1.5e-05
2458539.55271 10820.88 0.25 8724.33 -0.0509 0.157116 3e-05 0.191232 1.3e-05
2458539.554685 10822.17 0.25 8725.5 -0.0511 0.156397 3e-05 0.191113 1.3e-05
2458539.556608 10821.75 0.26 8723.92 -0.0511 0.15634 3.1e-05 0.191116 1.3e-05
2458539.55856 10820.15 0.26 8726.47 -0.0507 0.156342 3.2e-05 0.19087 1.3e-05
2458539.560532 10821.93 0.24 8726.37 -0.0511 0.157265 2.8e-05 0.19103 1.2e-05
2458541.524454 10818.26 0.25 8727.15 -0.0522 0.156972 2.9e-05 0.190196 1.3e-05
2458541.526379 10817.38 0.25 8728.23 -0.0517 0.156821 2.9e-05 0.189975 1.3e-05
2458541.52833 10817.9 0.33 8722.47 -0.049 0.155486 4.5e-05 0.190089 1.8e-05
2458541.530327 10817.73 0.29 8725.49 -0.0504 0.156478 3.7e-05 0.1898 1.5e-05
2458541.532233 10817.34 0.31 8723.5 -0.0505 0.155218 4.2e-05 0.19 1.7e-05
2458541.534263 10819.32 0.3 8725.04 -0.0497 0.155549 3.8e-05 0.190175 1.6e-05
2458541.624152 10816.78 0.23 8725.75 -0.0508 0.157441 2.6e-05 0.189886 1.2e-05
2458541.626115 10817.39 0.23 8723.77 -0.0501 0.157163 2.6e-05 0.190201 1.2e-05
2458541.628033 10817.87 0.25 8728.92 -0.0503 0.156985 2.9e-05 0.190069 1.3e-05
2458541.629951 10817.23 0.26 8726.33 -0.0506 0.156211 3e-05 0.189758 1.3e-05
2458541.631974 10818.56 0.27 8724.57 -0.0516 0.156247 3.3e-05 0.189542 1.4e-05
2458541.633949 10816.93 0.25 8726.33 -0.0505 0.156422 2.9e-05 0.190149 1.3e-05
2458542.51939 10820.26 0.32 8721.45 -0.0502 0.154693 4.4e-05 0.189749 1.7e-05
2458542.521348 10819.49 0.31 8725.9 -0.0499 0.15495 4.1e-05 0.1897 1.6e-05
2458542.523281 10819.91 0.32 8724.8 -0.0509 0.15391 4.4e-05 0.18984 1.7e-05
2458542.525285 10818.48 0.31 8725.68 -0.0501 0.154709 4.2e-05 0.189782 1.7e-05
2458542.527282 10821.58 0.29 8722.89 -0.0497 0.154903 3.8e-05 0.190085 1.5e-05
2458542.529179 10818.65 0.27 8724.37 -0.0508 0.156296 3.3e-05 0.190356 1.4e-05
2458543.512909 10818.59 0.36 8726.09 -0.0516 0.151972 5.3e-05 0.190465 2e-05
2458543.514871 10817.44 0.34 8726.77 -0.0499 0.15307 4.9e-05 0.19 1.9e-05
2458543.516892 10818.4 0.38 8727.19 -0.0502 0.151798 5.7e-05 0.189493 2.1e-05
2458543.518801 10817.52 0.36 8724.75 -0.0505 0.152471 5.3e-05 0.189895 2e-05
2458543.520739 10819.11 0.32 8725.66 -0.0528 0.154732 4.5e-05 0.189953 1.8e-05
2458543.522661 10817.54 0.39 8728.14 -0.0529 0.150559 6e-05 0.189931 2.2e-05
2458543.615759 10817.33 0.25 8725.67 -0.0511 0.156225 3e-05 0.190146 1.3e-05
2458543.617755 10817.06 0.25 8726.73 -0.0511 0.156266 3e-05 0.189904 1.3e-05
2458543.619707 10816.45 0.28 8725.68 -0.0507 0.155125 3.7e-05 0.190025 1.5e-05
2458543.621736 10817.42 0.28 8726.53 -0.0507 0.155001 3.7e-05 0.189989 1.5e-05
2458543.623643 10817.11 0.28 8723.97 -0.0513 0.15539 3.8e-05 0.190262 1.5e-05
2458543.625609 10817.95 0.32 8727.6 -0.0498 0.154038 4.5e-05 0.189762 1.7e-05
2458544.552276 10817.05 0.4 8723.21 -0.049 0.153228 6e-05 0.190284 2.3e-05
2458544.554302 10817.34 0.4 8723.49 -0.0514 0.152452 6.2e-05 0.190039 2.3e-05
2458544.55629 10816.34 0.34 8727.25 -0.051 0.15438 4.8e-05 0.190226 1.9e-05
2458544.558243 10818.5 0.36 8722.18 -0.0512 0.153283 5.2e-05 0.190225 2e-05
2458544.560306 10815.41 0.31 8725.45 -0.0507 0.155459 4.1e-05 0.18987 1.7e-05
2458544.562073 10818.41 0.54 8723.66 -0.0533 0.147703 9.2e-05 0.190117 3.2e-05
2458555.490876 10808.24 0.24 8725.51 -0.0504 0.157243 2.7e-05 0.190681 1.2e-05
2458555.493143 10806.67 0.34 8721.35 -0.0495 0.15451 4.8e-05 0.189979 1.9e-05
2458555.49541 10807.59 0.39 8722.38 -0.0495 0.152857 6.1e-05 0.190352 2.2e-05
2458555.497588 10807.05 0.37 8723.92 -0.0506 0.153072 5.5e-05 0.190188 2e-05
2458555.499851 10808.45 0.36 8723.41 -0.0508 0.15357 5.5e-05 0.190702 2e-05
2458555.502116 10805.89 0.38 8722.66 -0.0494 0.154059 5.8e-05 0.190103 2.1e-05
2458555.574305 10808.83 0.37 8722.68 -0.0504 0.154044 5.6e-05 0.190808 2.1e-05
2458555.576629 10807.46 0.36 8722.58 -0.0496 0.154246 5.6e-05 0.190667 2e-05
2458555.578877 10808.74 0.32 8725.04 -0.0506 0.155392 4.6e-05 0.190456 1.7e-05
2458555.58107 10805.7 0.31 8720.94 -0.0502 0.156375 4.3e-05 0.189992 1.7e-05
2458555.58331 10808.07 0.33 8723.46 -0.051 0.155155 4.8e-05 0.190119 1.8e-05
2458555.585493 10807.74 0.33 8723.63 -0.0487 0.154648 4.6e-05 0.190198 1.8e-05
2458561.501312 10802.83 0.26 8726.22 -0.0498 0.157513 3.1e-05 0.189779 1.3e-05
2458561.503297 10805.53 0.26 8724.16 -0.049 0.157418 3e-05 0.190183 1.3e-05
2458561.505268 10802.83 0.24 8724.84 -0.0483 0.157495 2.8e-05 0.190207 1.2e-05
2458561.507188 10804.52 0.25 8725.87 -0.0491 0.157532 3e-05 0.19028 1.3e-05
2458561.509161 10802.93 0.25 8727.89 -0.0491 0.15768 2.9e-05 0.190369 1.3e-05
2458561.511133 10804.69 0.25 8724.68 -0.0489 0.157836 3e-05 0.190359 1.3e-05
2458562.488477 10800.78 0.33 8727.41 -0.0483 0.155375 4.7e-05 0.189757 1.8e-05
2458562.490442 10803.43 0.4 8724.47 -0.0493 0.154813 6.2e-05 0.190328 2.2e-05
2458562.492369 10801.74 0.37 8723.07 -0.0469 0.15552 5.5e-05 0.190225 2e-05
2458562.494327 10801.49 0.35 8723.82 -0.0501 0.155177 5e-05 0.189948 1.9e-05
2458562.496309 10803.19 0.35 8726.2 -0.049 0.155495 5.1e-05 0.189769 1.9e-05
2458562.498327 10802.32 0.32 8724.95 -0.0503 0.156459 4.5e-05 0.189521 1.7e-05
2458568.498334 10798.61 0.4 8724.44 -0.0507 0.151262 6.2e-05 0.190593 2.3e-05
2458568.501124 10797.2 0.43 8722.17 -0.0479 0.149654 6.9e-05 0.190671 2.5e-05
2458568.502863 10800.13 1.76 8724.95 -0.0556 0.193487 0.000109 0.325427 8.5e-05
