BJD RV eRV FWHM BIS Sind eSind Halpha eHalpha
2458444.822637 56.4499999999989 0.3 8724.81 -0.0477 0.159925 3.8e-05 0.190713 1.6e-05
2458444.830071 55.5699999999997 0.35 8723.85 -0.0474 0.162184 4.9e-05 0.190278 2e-05
2458459.637836 38.7299999999996 0.37 8718.15 -0.0389 0.155297 5.2e-05 0.18988 2.1e-05
2458459.639842 39.3099999999995 0.34 8720.44 -0.0389 0.156342 4.5e-05 0.189819 1.9e-05
2458459.641863 39.7399999999998 0.4 8716.13 -0.0376 0.154923 5.9e-05 0.18995 2.3e-05
2458459.643734 39.9299999999985 0.35 8721.98 -0.0388 0.153385 4.8e-05 0.189659 2e-05
2458459.645708 37.3799999999992 0.33 8721.88 -0.0393 0.157228 4.4e-05 0.189653 1.8e-05
2458459.647579 40.6899999999987 0.39 8720.83 -0.0385 0.155091 5.7e-05 0.189771 2.2e-05
2458463.774276 33.9399999999987 0.28 8724.03 -0.0372 0.157404 3.3e-05 0.19046 1.4e-05
2458463.77619 33.8999999999996 0.24 8724.62 -0.0377 0.158986 2.6e-05 0.190402 1.2e-05
2458463.77816 34.3299999999999 0.24 8723.37 -0.038 0.159219 2.6e-05 0.190275 1.2e-05
2458463.780114 33.75 0.23 8725.96 -0.0379 0.159331 2.4e-05 0.190637 1.1e-05
2458463.782047 34.0599999999995 0.24 8725.1 -0.0388 0.158784 2.7e-05 0.190313 1.2e-05
2458463.784016 32.9299999999985 0.24 8724.16 -0.0389 0.158926 2.7e-05 0.19005 1.2e-05
2458466.665784 31.8099999999995 0.24 8724.27 -0.038 0.158678 2.5e-05 0.190576 1.2e-05
2458466.667701 29.8399999999983 0.24 8725.66 -0.0381 0.158671 2.6e-05 0.19053 1.2e-05
2458466.669642 31.5199999999986 0.24 8724.43 -0.0383 0.158971 2.6e-05 0.190574 1.2e-05
2458466.671648 30.7799999999988 0.24 8724.42 -0.0381 0.158641 2.5e-05 0.19077 1.2e-05
2458466.673617 31.3599999999988 0.25 8722.36 -0.038 0.157821 2.8e-05 0.190829 1.3e-05
2458466.675552 30.3599999999988 0.22 8726.24 -0.0378 0.158916 2.1e-05 0.190372 1.1e-05
2458470.705487 25.0999999999985 0.26 8726.94 -0.0377 0.157474 3.2e-05 0.190449 1.3e-05
2458470.707414 26.7399999999998 0.27 8724.26 -0.0386 0.157109 3.3e-05 0.190519 1.4e-05
2458470.7094 23.9799999999996 0.26 8725.89 -0.0377 0.157565 3e-05 0.190521 1.3e-05
2458470.711348 27.1299999999992 0.27 8726.14 -0.0381 0.158398 3.3e-05 0.190721 1.4e-05
2458470.713194 25.5999999999985 0.3 8724.15 -0.0376 0.156842 3.8e-05 0.190395 1.6e-05
2458470.715185 25.9299999999985 0.27 8726.69 -0.0368 0.156914 3.3e-05 0.190667 1.4e-05
2458488.562461 3.26999999999862 0.24 8724.24 -0.036 0.158039 2.6e-05 0.190502 1.2e-05
2458488.56442 1.77999999999884 0.24 8722.88 -0.0354 0.157456 2.6e-05 0.190874 1.2e-05
2458488.566414 3.7599999999984 0.24 8723.68 -0.0366 0.158 2.5e-05 0.19055 1.2e-05
2458488.568306 1.11999999999898 0.25 8723.48 -0.0354 0.157442 2.7e-05 0.190086 1.3e-05
2458488.570217 3.04999999999927 0.24 8724.39 -0.0366 0.157998 2.7e-05 0.190404 1.2e-05
2458488.57217 3.25 0.25 8722.46 -0.0367 0.157468 2.8e-05 0.190374 1.3e-05
2458488.739076 1.39999999999964 0.69 8732.68 -0.0353 0.142283 0.000135 0.190081 4.2e-05
2458488.741026 5.68999999999869 0.79 8715.85 -0.033 0.122932 0.00016 0.190754 4.8e-05
2458488.742967 6.59999999999854 0.62 8709.19 -0.0331 0.145728 0.000116 0.19142 3.8e-05
2458488.744922 4.69999999999891 0.6 8714.19 -0.0342 0.144322 0.000111 0.190315 3.6e-05
2458488.746951 1.92999999999847 0.79 8716.15 -0.0353 0.127552 0.000159 0.190213 4.8e-05
2458488.748971 7.42999999999847 0.87 8714.8 -0.0325 0.108122 0.00018 0.191077 5.3e-05
2458489.767025 0.3799999999992 0.42 8724.05 -0.0368 0.153369 6.4e-05 0.190257 2.4e-05
2458489.768842 1.2599999999984 0.41 8724.63 -0.0379 0.153245 6.2e-05 0.190346 2.4e-05
2458489.770853 1.88999999999942 0.43 8721.85 -0.0367 0.152459 6.7e-05 0.189955 2.5e-05
2458489.772787 1.16999999999825 0.43 8722.39 -0.0377 0.153845 6.8e-05 0.190134 2.5e-05
2458489.774704 3.04999999999927 0.39 8723.04 -0.0362 0.153318 5.9e-05 0.19062 2.2e-05
2458489.776693 1.47999999999956 0.51 8721.33 -0.0355 0.148588 8.7e-05 0.190401 3e-05
2458493.648582 -3.77000000000044 0.23 8725.73 -0.0348 0.158893 2.4e-05 0.190453 1.2e-05
2458493.650535 -2.79000000000087 0.22 8724.74 -0.0354 0.159001 2.2e-05 0.190359 1.1e-05
2458493.652492 -3.33000000000175 0.22 8726.6 -0.0355 0.158997 2.3e-05 0.190671 1.1e-05
2458493.654368 -3.52000000000044 0.22 8726.21 -0.0361 0.158964 2.3e-05 0.190627 1.1e-05
2458493.656362 -3.11000000000058 0.23 8725 -0.0368 0.158511 2.5e-05 0.190294 1.2e-05
2458493.658271 -3.68000000000029 0.26 8723.92 -0.0357 0.157849 2.9e-05 0.190433 1.3e-05
2458512.58724 -25.4500000000007 0.36 8723.25 -0.0531 0.153262 5.3e-05 0.19027 2e-05
2458512.589153 -23.4700000000012 0.38 8727.26 -0.057 0.152471 5.8e-05 0.190176 2.1e-05
2458512.591067 -25.0900000000001 0.38 8726.22 -0.0508 0.152238 5.8e-05 0.189814 2.1e-05
2458512.593033 -24.3100000000013 0.35 8719.52 -0.0543 0.154497 5.2e-05 0.189976 1.9e-05
2458512.59502 -25.25 0.35 8721.74 -0.0516 0.153184 5.2e-05 0.190667 1.9e-05
2458512.596954 -24.3900000000012 0.36 8723.03 -0.0513 0.152537 5.4e-05 0.190635 2e-05
2458532.632324 -49.9500000000007 0.27 8724.28 -0.0505 0.155629 3.5e-05 0.190195 1.4e-05
2458532.634431 -46.5 0.28 8727.54 -0.0508 0.15544 3.6e-05 0.19011 1.5e-05
2458532.636445 -49.8600000000006 0.27 8725.12 -0.0519 0.155968 3.3e-05 0.190212 1.4e-05
2458532.638473 -48.4000000000015 0.26 8726.28 -0.0503 0.155913 3.3e-05 0.190329 1.4e-05
2458532.640517 -50.0200000000004 0.28 8725.28 -0.0501 0.156266 3.5e-05 0.189907 1.4e-05
2458532.642566 -48.4000000000015 0.28 8725.67 -0.0519 0.156001 3.6e-05 0.190104 1.4e-05
2458533.545167 -47.3400000000001 0.27 8725.2 -0.0521 0.155407 3.4e-05 0.190274 1.4e-05
2458533.547193 -49.2300000000014 0.27 8727.75 -0.0508 0.155895 3.4e-05 0.190627 1.4e-05
2458533.549307 -48.0100000000002 0.27 8725.55 -0.0507 0.155997 3.4e-05 0.190123 1.4e-05
2458533.551414 -48.8500000000004 0.3 8725.83 -0.0507 0.154857 4.1e-05 0.189938 1.6e-05
2458533.553505 -46.6800000000003 0.29 8727.62 -0.0507 0.155035 3.9e-05 0.190156 1.5e-05
2458533.555526 -49.4200000000001 0.28 8725.33 -0.0503 0.156078 3.5e-05 0.190096 1.4e-05
2458533.599947 -49.5300000000007 0.31 8722.66 -0.0498 0.154645 4.3e-05 0.189963 1.7e-05
2458533.601973 -47.8700000000008 0.32 8726.08 -0.0512 0.154015 4.4e-05 0.189647 1.7e-05
2458533.604057 -50.1900000000005 0.31 8725.86 -0.0525 0.154509 4.1e-05 0.190206 1.6e-05
2458533.606092 -48.9000000000015 0.29 8727.39 -0.0522 0.155328 3.7e-05 0.190265 1.5e-05
2458533.608102 -49.6700000000001 0.29 8726.33 -0.0529 0.155083 3.9e-05 0.189889 1.6e-05
2458533.610172 -49.3500000000004 0.29 8727.34 -0.0509 0.154913 3.7e-05 0.189469 1.5e-05
2458536.519125 -50.5 0.24 8725.7 -0.0508 0.157789 2.7e-05 0.189946 1.2e-05
2458536.521077 -50.8500000000004 0.23 8725.05 -0.0501 0.157777 2.5e-05 0.189907 1.1e-05
2458536.52298 -49.7200000000012 0.23 8724.16 -0.0503 0.158217 2.4e-05 0.190213 1.1e-05
2458536.524962 -51.2600000000002 0.23 8725.56 -0.0492 0.157922 2.4e-05 0.190405 1.1e-05
2458536.526907 -48.5200000000004 0.24 8725.27 -0.051 0.157143 2.7e-05 0.190113 1.2e-05
2458536.52885 -52.2900000000009 0.25 8725.79 -0.0516 0.157301 2.9e-05 0.18993 1.3e-05
2458536.595111 -50.9700000000012 0.21 8725.97 -0.0523 0.158467 2.1e-05 0.190357 1e-05
2458536.597025 -51.6400000000012 0.22 8726.41 -0.0519 0.158099 2.2e-05 0.190646 1.1e-05
2458536.59894 -50.0600000000013 0.21 8724.09 -0.0508 0.158087 2.2e-05 0.190225 1e-05
2458536.600915 -50.3500000000004 0.2 8726.37 -0.0515 0.158478 2e-05 0.190853 1e-05
2458536.602863 -52.5 0.21 8726.07 -0.0511 0.158794 2e-05 0.190427 1e-05
2458536.604778 -49.1600000000017 0.2 8725.71 -0.0524 0.1589 1.9e-05 0.19058 1e-05
